Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
big-back,BIG BACK,<p>The ultimate topwater lure for aggressive strikes. Built for trophy bass and snakeheads. The Big Back creates explosive surface action that triggers violent attacks. Deadly in heavy cover and open water.</p>,Beavercreek Lures,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures > Artificial Fishing Plugs,Hollow body-Top Water,"bass, fishing, snakehead, topwater, top-water",true,Color,Black / No Tail,,,,,,,,BB-BLACK-14,28.0,shopify,25,deny,manual,9.99,14.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Black_notail.jpg?v=1776136209,1,BIG BACK - Black / No Tail,false,Big Back - Premium Topwater Fishing Lure,Trophy-grade topwater lure for bass and snakehead. Aggressive action that triggers explosive strikes. Available in multiple deadly colors.,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Black_notail.jpg?v=1776136209,g,,6.00,active
big-back,,,,,,,,,Orange,,,,,,,,BB-ORANGE-14,28.0,shopify,25,deny,manual,9.99,14.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Orange_efd93186-7dce-4a8e-99ff-e1334095e44e.jpg?v=1776136209,2,BIG BACK - Black / No Tail,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Orange.jpg?v=1776136209,g,,6.00,
big-back,,,,,,,,,Red,,,,,,,,BB-RED-14,28.0,shopify,25,deny,manual,9.99,14.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Orange.jpg?v=1776136209,3,BIG BACK - Black / No Tail,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Red.jpg?v=1776136209,g,,6.00,
big-back,,,,,,,,,White,,,,,,,,BB-WHITE-14,28.0,shopify,25,deny,manual,9.99,14.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Red.jpg?v=1776136209,4,BIG BACK - Black / No Tail,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/White.jpg?v=1776136209,g,,6.00,
big-back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/White.jpg?v=1776136209,5,BIG BACK - Black / No Tail,,,,,,,,,,
bladed-flatliner,Bladed flatliner (weighted),"<p>A weighted sub-surface bait with blade flash and vibration. Built for steady retrieves around grass, wood, and open water when fish are chasing below the surface.</p>",Beavercreek Lures,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures > Artificial Fishing Spinners,Sub-Surface,"fishing, sub-surface",true,Color,Green,,,,,,,,,14.0,shopify,0,deny,manual,9.99,,true,true,,,,,,https://raw.githubusercontent.com/Fischetti22/beavercreek-lures-an/main/Images/Weighted%20Flatline/Green%20Bait.png,1,,false,,,,metal,https://raw.githubusercontent.com/Fischetti22/beavercreek-lures-an/main/Images/Weighted%20Flatline/Green%20Bait.png,g,,,active
bladed-flatliner,,,,,,,,,Red,,,,,,,,,14.0,shopify,0,deny,manual,9.99,,true,true,,,,,,https://raw.githubusercontent.com/Fischetti22/beavercreek-lures-an/main/Images/Weighted%20Flatline/Red%20Bait.png,2,,,,,,metal,https://raw.githubusercontent.com/Fischetti22/beavercreek-lures-an/main/Images/Weighted%20Flatline/Red%20Bait.png,g,,,
bladed-flatliner,,,,,,,,,Yellow,,,,,,,,,14.0,shopify,0,deny,manual,9.99,,true,true,,,,,,https://raw.githubusercontent.com/Fischetti22/beavercreek-lures-an/main/Images/Weighted%20Flatline/Yellow%20Bait.png,3,,,,,,metal,https://raw.githubusercontent.com/Fischetti22/beavercreek-lures-an/main/Images/Weighted%20Flatline/Yellow%20Bait.png,g,,,
channa-chatter-bait,Channa chatter bait,"<p>A compact chatterbait-style lure that throws off strong vibration and flash to trigger aggressive strikes. Great for bass and snakehead around grass lines, edges, and shallow cover.</p>",Beavercreek Lures,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures > Artificial Fishing Jigs,Sub-Surface,"bass, fishing, snakehead, sub-surface",true,Color,Blue,,,,,,,,,11.0,shopify,0,deny,manual,9.99,,true,true,,,,,,https://raw.githubusercontent.com/Fischetti22/beavercreek-lures-an/main/Images/Channa%20Chatter/Blue%20Channa.png,1,,false,,,,,https://raw.githubusercontent.com/Fischetti22/beavercreek-lures-an/main/Images/Channa%20Chatter/Blue%20Channa.png,g,,1.25,active
channa-chatter-bait,,,,,,,,,Blue / Pink / White,,,,,,,,,11.0,shopify,0,deny,manual,9.99,,true,true,,,,,,https://raw.githubusercontent.com/Fischetti22/beavercreek-lures-an/main/Images/Channa%20Chatter/Blue_Pink_White%20Channa.png,2,,,,,,,https://raw.githubusercontent.com/Fischetti22/beavercreek-lures-an/main/Images/Channa%20Chatter/Blue_Pink_White%20Channa.png,g,,1.25,
