Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
big-back,BIG BACK,<p>The ultimate topwater lure for aggressive strikes. Built for trophy bass and snakeheads. The Big Back creates explosive surface action that triggers violent attacks. Deadly in heavy cover and open water.</p>,Beavercreek Lures,Uncategorized,Hollow body-Top Water,"bass, fishing, snakehead, topwater",true,Color,Black / No Tail,,,,,,,,BB-BLACK-14,28.0,shopify,25,deny,manual,9.99,14.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Black_notail.jpg?v=1776136209,1,BIG BACK - Black / No Tail,false,Big Back - Premium Topwater Fishing Lure,Trophy-grade topwater lure for bass and snakehead. Aggressive action that triggers explosive strikes. Available in multiple deadly colors.,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Black_notail.jpg?v=1776136209,g,,6.00,active
big-back,,,,,,,,,Orange,,,,,,,,BB-ORANGE-14,28.0,shopify,25,deny,manual,9.99,14.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Orange_efd93186-7dce-4a8e-99ff-e1334095e44e.jpg?v=1776136209,2,BIG BACK - Black / No Tail,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Orange.jpg?v=1776136209,g,,6.00,
big-back,,,,,,,,,Red,,,,,,,,BB-RED-14,28.0,shopify,25,deny,manual,9.99,14.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Orange.jpg?v=1776136209,3,BIG BACK - Black / No Tail,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Red.jpg?v=1776136209,g,,6.00,
big-back,,,,,,,,,White,,,,,,,,BB-WHITE-14,28.0,shopify,25,deny,manual,9.99,14.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/Red.jpg?v=1776136209,4,BIG BACK - Black / No Tail,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/White.jpg?v=1776136209,g,,6.00,
big-back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/White.jpg?v=1776136209,5,BIG BACK - Black / No Tail,,,,,,,,,,
bladed-flatliner,Bladed flatliner (weighted),<p> bladed flatline</p>,My Store,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures > Artificial Fishing Spoons,Sub-Surface,"",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/DC2A217E-A0C8-4D4C-85A0-32A643CC99D5.png?v=1776218742,1,"",false,,,,metal,,lb,,,active
bladed-flatliner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/2D2A8F0F-E68D-4C1D-BA62-0E0049233318.png?v=1776218742,2,"",,,,,,,,,,
channa-chatter-bait,Channa chatter bait,"",My Store,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures > Artificial Fishing Jigs,Sub-Surface,"",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,8.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/827A40E5-4B45-44AE-A104-98FB3D91A05E.png?v=1776218926,1,"",false,,,,,,lb,,1.25,active
channa-chatter-bait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/3422737F-188E-4D4F-BD87-FCF400FE9F47.png?v=1776218926,2,"",,,,,,,,,,
channa-chatter-bait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0766/6768/3004/files/A2470B40-03A8-4B13-9C84-A615843B0252.png?v=1776218926,3,"",,,,,,,,,,
